Product_Id,Options_Index,Product_Option_Id,Product_Option_Name,Product_Option_Position
7827147128925,0,10018507259997,"Size",1
7827147128925,1,10018507292765,"Color",2
7827147161693,0,10018507325533,"Size",1
7827147161693,1,10018507358301,"Color",2
7827146965085,0,10018506932317,"Size",1
7827146965085,1,10018506965085,"Color",2
7827146473565,0,10018505982045,"Size",1
7827146473565,1,10018506014813,"Color",2
7827146375261,0,10018505785437,"Size",1
7827146375261,1,10018505818205,"Color",2
7827146834013,0,10018506702941,"Size",1
7827146834013,1,10018506735709,"Color",2
7827146801245,0,10018506637405,"Size",1
7827146801245,1,10018506670173,"Color",2
7827146866781,0,10018506768477,"Size",1
7827146866781,1,10018506801245,"Color",2
7827146768477,0,10018506571869,"Size",1
7827146768477,1,10018506604637,"Color",2
7827146702941,0,10018506440797,"Size",1
7827146702941,1,10018506473565,"Color",2
7827146735709,0,10018506506333,"Size",1
7827146735709,1,10018506539101,"Color",2
7827147063389,0,10018507128925,"Size",1
7827147063389,1,10018507161693,"Color",2
7827141820509,0,10018500935773,"Denominations",1
7827147030621,0,10018507063389,"Size",1
7827147030621,1,10018507096157,"Color",2
7827146670173,0,10018506375261,"Size",1
7827146670173,1,10018506408029,"Color",2
7827147096157,0,10018507194461,"Size",1
7827147096157,1,10018507227229,"Color",2
7827146899549,0,10018506834013,"Size",1
7827146899549,1,10018506866781,"Color",2
7827146342493,0,10018505719901,"Size",1
7827146342493,1,10018505752669,"Color",2
7827146408029,0,10018505850973,"Size",1
7827146408029,1,10018505883741,"Color",2
7827142017117,0,10018501132381,"Title",1
7827146440797,0,10018505916509,"Size",1
7827146440797,1,10018505949277,"Color",2
7827142279261,0,10018501394525,"Title",1
7827141984349,0,10018501066845,"Title",1
7827141951581,0,10018501099613,"Title",1
7827142213725,0,10018501328989,"Title",1
7827142180957,0,10018501296221,"Title",1
7827142082653,0,10018501197917,"Title",1
7827142049885,0,10018501165149,"Color",1
7827141853277,0,10018500968541,"Title",1
7827141918813,0,10018501034077,"Title",1
7827141787741,0,10018500903005,"Title",1
7827142148189,0,10018501263453,"Title",1
7827142246493,0,10018501361757,"Title",1
7827142312029,0,10018501427293,"Title",1
7827141886045,0,10018501001309,"Title",1
7827142115421,0,10018501230685,"Title",1
7827146637405,0,10018506309725,"Size",1
7827146637405,1,10018506342493,"Color",2
7827146997853,0,10018506997853,"Size",1
7827146997853,1,10018507030621,"Color",2
7827146276957,0,10018505588829,"Size",1
7827146276957,1,10018505621597,"Color",2
7827146244189,0,10018505523293,"Size",1
7827146244189,1,10018505556061,"Color",2
7827146211421,0,10018505457757,"Size",1
7827146211421,1,10018505490525,"Color",2
7827146604637,0,10018506244189,"Size",1
7827146604637,1,10018506276957,"Color",2
7827146506333,0,10018506047581,"Size",1
7827146506333,1,10018506080349,"Color",2
7827146571869,0,10018506178653,"Size",1
7827146571869,1,10018506211421,"Color",2
7827146539101,0,10018506113117,"Size",1
7827146539101,1,10018506145885,"Color",2
7827146309725,0,10018505654365,"Size",1
7827146309725,1,10018505687133,"Color",2
7827146178653,0,10018505392221,"Size",1
7827146178653,1,10018505424989,"Color",2
